YEAR,MO,DY,PS,WS10M,WS50M,PRECTOTCORR,QV2M,TS,T2MDEW,T2M,ALLSKY_SFC_UV_INDEX,ALLSKY_SRF_ALB,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN
2021,1,1,99.28,1.52,2.27,0,2.87,12.2,-3.9,13.36,0.27,0.16,111.63,84.63
2021,1,2,99.2,2.43,3.95,7.36,5.31,13.21,3.22,13.51,0.14,0.16,82.17,48.72
2021,1,3,99,3.94,6.34,18.79,9.83,15.63,13.6,15.8,0.13,0.16,88.39,33.38
2021,1,4,99.13,2.86,4.41,0.12,9.28,17.69,12.69,17.43,0.37,0.15,112.93,92.31
2021,1,5,99.08,3.35,5.41,2.98,8.97,17.5,12.21,17.54,0.3,0.12,108.63,75.06
2021,1,6,99.08,1.45,2.05,8.24,8.73,15.92,11.82,16.48,0.21,0.12,100.22,62.99
2021,1,7,99.01,2.72,4.52,0.32,7.75,14.76,9.94,14.48,0.23,0.17,109.04,67.52
2021,1,8,98.98,1.89,3.37,0.44,7.69,15.83,9.8,15.48,0.21,0.15,99.26,57.79
2021,1,9,99.07,2.88,4.86,0.91,7.2,16.3,8.86,15.88,0.31,0.12,104.77,83.59
2021,1,10,99.1,4.16,6.51,0,5.43,13.45,4.74,12.98,0.55,0.14,133.19,128.58
2021,1,11,99.19,4.38,7.26,0,4.09,11.12,0.94,11.01,0.52,0.13,148.21,128.41
2021,1,12,99.21,4.14,7.16,0,3.78,11.08,-0.11,11.24,0.62,0.12,159.81,139.37
2021,1,13,99.11,3.66,6.1,0,3.42,9.73,-1.61,10.08,0.6,0.13,160.88,123.91
2021,1,14,99.14,1.75,2.41,0,3.23,10.02,-2.31,12.06,0.55,0.12,153.86,117.13
2021,1,15,99.01,1.66,2.3,0,3.3,10.07,-2.2,12.65,0.59,0.12,147.88,127.47
2021,1,16,98.86,3.16,4.94,0,3.48,10.2,-1.37,10.9,0.58,0.13,150.44,106.72
2021,1,17,99.07,2.58,3.78,0,3.85,9.8,-0.1,10.94,0.41,0.16,132.47,75.6
2021,1,18,99.17,2.54,3.99,0,3.97,12.91,0.4,13.73,0.29,0.12,99.66,66.53
2021,1,19,98.92,3.24,5.48,0,5.31,14.66,4.17,14.92,0.47,0.1,115.29,111.22
2021,1,20,98.95,4.95,8.01,0,4.52,13.51,2.22,13.55,0.83,0.13,167.37,144.69
2021,1,21,98.88,4.65,7.06,0,4.39,12.61,1.8,13.09,0.95,0.14,178.73,178.48
2021,1,22,98.99,2.29,3.56,0,3.72,12.31,-0.54,13.32,0.71,0.15,169.02,112.97
2021,1,23,98.83,3.34,5.26,0,3.97,13.12,0.22,14.04,0.64,0.12,151.2,128.15
2021,1,24,99.11,3.01,5.5,0,4.76,12.26,2.79,12.08,0.42,0.16,140.05,74.84
2021,1,25,99.31,2.53,4.2,0,3.91,10.62,0.29,10.83,0.36,0.13,125.14,94.12
2021,1,26,99.27,2.91,4.66,0,4.09,11.65,0.88,11.92,0.58,0.11,151.22,140.11
2021,1,27,99.27,3.16,4.86,0,3.72,11.58,-0.48,12.1,0.85,0.11,173.18,167.75
2021,1,28,99.34,2.66,4.31,0,3.17,11.06,-2.59,11.34,0.55,0.11,158.5,122.85
2021,1,29,99.37,3.98,6.85,0,3.23,11.08,-2.38,11.3,0.67,0.13,177.67,161.48
2021,1,30,99.21,3.98,6.45,0,3.3,11.6,-2.11,12.1,0.77,0.16,190.26,185.57
2021,1,31,99.27,2.3,3.37,0,3.17,12.26,-2.72,14.11,0.95,0.16,191.91,193.4
2021,2,1,99.42,2.52,3.58,0,3.48,13.76,-1.54,15.93,0.94,0.12,185.4,185.12
2021,2,2,99.24,2.05,3.02,0,3.72,14.84,-0.53,16.45,0.85,0.14,187.15,186.98
2021,2,3,99.11,3.23,4.87,0.05,4.27,15.44,1.42,16.25,0.76,0.12,184.82,169.7
2021,2,4,99.13,3.48,5.8,3.03,6.16,16.05,6.4,16.17,0.5,0.11,159.56,115.77
2021,2,5,99.27,2.62,4.65,0.09,6.29,15.14,6.73,14.6,0.67,0.11,173.38,171.68
2021,2,6,99.32,3.66,6.42,0,4.76,14.6,3.02,14.29,0.84,0.13,200.17,202.22
2021,2,7,99.28,3.88,6.25,0,4.7,14.37,2.8,14.51,0.82,0.14,202.45,203.62
2021,2,8,99.29,3.17,5.05,0,4.76,15,2.94,15.12,0.76,0.12,189.2,188.63
2021,2,9,98.98,2.82,4.39,0,4.88,16.83,3.34,17.63,0.81,0.12,196.63,180.16
2021,2,10,98.87,1.94,2.92,0,4.94,18.47,3.4,19.21,0.8,0.12,195.02,196.59
2021,2,11,98.92,2.44,3.79,0,5.07,17.12,3.8,17.51,0.71,0.11,187.33,184.9
2021,2,12,99.03,2.31,3.55,0,5.49,16.52,4.87,17.82,0.57,0.11,173.4,145.53
2021,2,13,99.03,2.11,3.05,0,4.52,16.7,2.12,18.3,0.58,0.11,180.51,140.1
2021,2,14,98.99,1.85,2.52,0,4.33,17.07,1.55,19.37,0.76,0.12,189.15,179.92
2021,2,15,98.83,1.24,1.84,0,4.46,18.4,1.88,20.37,0.73,0.12,185.77,183.05
2021,2,16,98.8,2.11,3.55,0,4.88,19.37,3.27,19.49,0.72,0.12,182.78,182.11
2021,2,17,98.97,2.31,3.41,0,5,18.26,3.66,18.61,0.82,0.09,194.62,186.59
2021,2,18,99.23,2.01,2.97,0,4.27,18.44,1.47,19.21,0.77,0.11,192.56,187.32
2021,2,19,99.43,2.76,4.58,0,4.46,18.26,1.98,18.24,0.8,0.11,195.2,189.62
2021,2,20,99.41,2.99,4.57,0,4.39,17.6,1.86,17.76,0.91,0.1,202.24,183.26
2021,2,21,99.25,3.51,5.37,0,4.46,17.84,2.08,18.11,1.02,0.12,208.84,205.17
2021,2,22,99.06,3.47,5.33,0,4.46,19.69,2.05,20.06,1.09,0.12,210.91,208.95
2021,2,23,98.84,2.41,3.46,0,4.46,20.85,1.84,21.89,1.23,0.14,221.46,222.09
2021,2,24,98.69,2.25,3.12,0,4.58,21.73,2.3,23.44,1.26,0.13,222.16,221.64
2021,2,25,98.55,3.18,4.93,0,4.76,22.4,2.75,23.01,1.34,0.14,223.31,222.94
2021,2,26,98.33,3.78,5.9,0,5.68,23.48,5.3,24.48,1.41,0.14,229.87,231.24
2021,2,27,98.28,3.43,5.29,0.38,6.47,23.8,7.21,23.97,1.27,0.12,219.77,221.34
2021,2,28,98.55,3.2,5.79,0,4.94,23.49,3.46,22.84,1.27,0.13,228.74,225.6
2021,3,1,98.94,4.63,7.84,0,3.23,21.57,-2.38,21.17,1.31,0.14,238.26,237.94
2021,3,2,98.94,5.23,8.6,0,3.23,21.07,-2.43,20.76,1.48,0.14,255.14,247.36
2021,3,3,98.76,3.82,5.97,0,3.17,22.07,-2.73,22.65,1.46,0.15,248.71,249.31
2021,3,4,98.74,2.28,3.4,0,3.42,23.64,-1.6,24.49,1.44,0.15,245.47,245.97
2021,3,5,98.67,4.78,7.85,0,3.42,23.93,-1.55,23.6,-999,0.13,239.27,237.19
2021,3,6,98.61,4.48,6.98,0,3.17,24.52,-2.65,24.74,1.53,0.14,251.88,253.53
2021,3,7,98.49,2.7,4.62,0,3.78,26.18,-0.63,25.6,1.42,0.13,237.94,238.09
2021,3,8,98.64,3.12,4.7,0.03,4.64,25.55,2.47,25.15,1.17,0.11,213.45,207.61
2021,3,9,98.74,2.13,3.7,0,5.37,27.57,4.45,26.6,1.34,0.12,225.29,215.62
2021,3,10,98.78,2.48,4.08,0.2,6.16,27.25,6.53,26.22,1.3,0.12,227.12,222.78
2021,3,11,98.86,1.77,2.84,0,4.64,26.96,2.36,26.39,1.29,0.1,234.12,231.73
2021,3,12,99.18,3.58,5.51,1.73,7.2,23.14,8.36,23.03,0.81,0.12,217.36,118.64
2021,3,13,99.11,2.47,4.09,0.03,8.73,25.5,11.54,24.08,1.37,0.12,239.58,228.4
2021,3,14,98.83,3.48,5.25,0,5.74,26.15,5.52,25.44,1.54,0.12,247.48,248.11
2021,3,15,98.73,3.19,4.96,0,5.19,25.14,4.19,24.98,1.2,0.13,238.16,216.09
2021,3,16,98.75,3.88,6.47,0,5.55,25.86,5,25.4,1.06,0.12,215.48,202.26
2021,3,17,98.59,3.08,5.12,0,5.92,27.48,6.01,26.69,1.23,0.12,221.09,217.3
2021,3,18,98.62,2.31,3.7,0,5.8,28.96,5.7,27.62,1.11,0.16,222.12,195.96
2021,3,19,98.61,3.11,4.98,0,6.35,29.02,6.67,27.88,1.16,0.1,220.82,210.03
2021,3,20,98.45,3.86,6.41,0,5.31,27.74,4.32,26.75,1.58,0.12,260.31,256.28
2021,3,21,98.4,2.16,3.27,0,5.37,28.55,4.55,27.72,1.55,0.1,261.76,258.1
2021,3,22,98.69,3.29,5.23,0,5.37,27.17,4.68,26.91,1.31,0.12,241.66,196.03
2021,3,23,98.82,2.5,4.52,0.04,5.98,29.51,6.04,28.01,1.22,0.12,236.09,167.94
2021,3,24,98.91,2.95,4.79,0.05,5.43,27.95,4.59,26.39,1.47,0.12,247.04,241.78
2021,3,25,98.85,5.18,7.91,0,5,25.97,3.46,24.86,1.54,0.13,270.69,240.82
2021,3,26,98.7,3.99,6.26,0,5.25,25.96,4.26,24.78,-999,0.12,270.53,266.28
2021,3,27,98.5,2.93,4.52,0,5.19,28.34,4.05,27.17,1.76,0.13,270.14,267.07
2021,3,28,98.28,1.95,2.77,0,5.07,29.65,3.76,29.12,1.7,0.12,261.48,257.78
2021,3,29,98.01,3.2,4.88,0,4.64,31.12,2.56,30.33,1.93,0.14,282.28,273.4
2021,3,30,97.61,5.6,7.8,0,4.15,30.76,0.61,30.65,1.77,0.11,268.3,260.27
2021,3,31,97.75,6.69,10.08,0,2.32,29.27,-7.56,28.55,2.12,0.15,310.32,309.48
2021,4,1,97.84,6.26,9.74,0,1.4,27.08,-11.77,26.44,-999,0.16,312.63,310.51
2021,4,2,98.15,3.75,5.88,0,1.71,26.9,-9.89,25.94,-999,0.16,306.34,302.65
2021,4,3,98.42,3.23,4.86,0,1.28,26.73,-12.85,25.93,1.9,0.15,313.8,313.05
2021,4,4,98.47,3.66,5.7,0,1.77,28.23,-9.49,27.35,1.97,0.15,303.47,303.02
2021,4,5,98.37,2.47,4.05,0,2.93,30.19,-3.6,29.26,1.69,0.14,278.6,251.3
2021,4,6,98.19,2.2,3.16,0,3.42,31.27,-1.88,30.92,1.71,0.13,264.96,248.19
2021,4,7,98.44,4.3,6.47,0,5.74,31.41,4.97,29.94,1.71,0.14,267.39,253.18
2021,4,8,98.44,3.55,5.72,0,3.17,29.53,-2.7,27.87,-999,0.13,285.3,279.45
2021,4,9,98.49,3.72,6.15,0,2.75,29.29,-4.42,27.93,1.96,0.15,309.34,306.5
2021,4,10,98.65,3.56,5.77,0,3.42,30.27,-1.52,28.89,1.95,0.15,304.27,301.77
2021,4,11,98.64,3.7,5.62,0,3.6,30.83,-1.02,29.72,1.88,0.15,310.29,307.52
2021,4,12,98.67,3.27,5.37,0,4.21,31.94,1.15,31.11,1.8,0.12,290.26,284
2021,4,13,98.49,4.06,6.52,0,4.94,33.18,3.37,32.01,1.8,0.13,298.84,294.3
2021,4,14,98.34,3.91,6.32,0,5.49,33.86,4.76,32.49,1.69,0.12,284.99,273.37
2021,4,15,98.26,3.05,4.82,0,5.13,34.26,3.86,32.76,1.58,0.13,287.42,277.56
2021,4,16,98.19,2.83,4.23,0.85,5.74,34.48,5.22,32.81,1.55,0.16,280.55,231.53
2021,4,17,98.53,4.21,6.13,0.98,7.69,31.74,9.65,29.53,1.9,0.12,295.59,278.47
2021,4,18,98.66,3.2,4.99,0,6.59,31.58,7.48,29.58,1.95,0.14,299.16,293.28
2021,4,19,98.25,3.24,4.8,0.02,5.55,32.92,4.97,31.24,1.98,0.12,296.15,284.79
2021,4,20,98.12,3.43,4.7,0.08,5.43,29.42,4.44,28.68,1.28,0.15,269.57,177.2
2021,4,21,98.36,3.47,4.95,1.02,7.02,29.38,8.4,27.44,1.8,0.12,289.52,278.55
2021,4,22,98.62,1.96,3.45,0.04,6.77,30.34,7.83,27.33,1.88,0.15,307.54,297.02
2021,4,23,98.35,4.23,6.4,0.23,5.68,31.17,5.25,29.35,1.72,0.14,294.74,248.16
2021,4,24,98.52,4.75,7.01,0.01,5.43,29.28,3.98,27.48,-999,0.16,319.47,314.77
2021,4,25,98.52,4.4,6.64,0,3.85,30.27,-0.25,28.9,-999,0.16,329.17,311.02
2021,4,26,98.33,3.57,5.09,0,3.54,31.9,-1.13,31.06,2.27,0.15,330.51,329.48
2021,4,27,98.23,3.04,4.23,0,4.15,33.84,1.01,33.37,2.03,0.13,309.64,299.64
2021,4,28,98.29,3.29,5,0,3.97,35.29,0.46,33.97,1.88,0.13,301.91,283.05
2021,4,29,98.27,3.06,4.47,0,5.62,35.99,5.04,34.67,1.54,0.12,264.89,252.97
2021,4,30,98.23,1.59,2.09,0.36,5.55,35.78,5.01,34.65,1.66,0.15,270.98,260.3
2021,5,1,98.22,2.12,3.09,0.98,6.1,35.59,6.32,33.73,1.74,0.13,278.47,260.69
2021,5,2,98.29,2.29,3.56,0.04,6.84,35.23,7.94,33.6,1.48,0.12,264.89,223.37
2021,5,3,98.14,2.51,3.38,0,7.63,35.54,9.63,33.93,1.77,0.13,275.54,260.48
2021,5,4,97.99,1.51,1.97,0,6.65,35.8,7.56,34.77,1.95,0.16,309.24,254.76
2021,5,5,98.11,2.05,3.02,0,6.35,36.36,6.87,33.54,1.91,0.13,298.75,271.07
2021,5,6,98.24,2.79,4.1,5.43,8.73,35.51,11.48,33,1.57,0.13,274.97,214.04
2021,5,7,98.47,1.87,3.16,0.66,9.89,34.16,13.56,31.59,1.81,0.12,284.8,269.75
2021,5,8,98.37,1.89,2.77,0,8.3,34.62,10.91,32.11,1.79,0.12,286.3,270.15
2021,5,9,98.12,2.36,3.43,0.13,8,35.23,10.29,33.1,1.52,0.14,282.1,238.16
2021,5,10,97.97,1.82,2.8,1.28,8.36,36.16,10.9,34.56,1.58,0.14,296.35,216.91
2021,5,11,97.88,2.77,4.08,0.01,7.87,35.92,10.04,33.78,1.98,0.13,304.12,276.46
2021,5,12,97.73,2.22,3.05,0.46,8.24,36.01,10.65,34.07,1.96,0.12,295.55,270.22
2021,5,13,97.93,1.83,2.45,1.97,10.19,33.71,13.95,30.93,1.77,0.13,293.66,236.56
2021,5,14,97.92,1.52,2.05,0,9.52,34.71,12.91,31.86,2.05,0.14,295.15,284.18
2021,5,15,98.03,1.37,2.2,0,8.54,36.48,11.27,33.51,1.66,0.13,299.8,213.82
2021,5,16,98.16,2.35,3.6,0.02,6.71,37.32,7.73,34.12,2.3,0.13,309.24,302.8
2021,5,17,98.22,3.72,5.08,0,7.02,35.53,8.26,33.43,1.27,0.16,297.45,140.09
2021,5,18,98.22,5.05,6.34,2.15,10.19,31.91,13.9,30.03,0.72,0.15,277.77,79.71
2021,5,19,98.01,5.49,6.7,50.91,13.79,26.48,18.5,25.51,0.68,0.13,297.22,57.79
2021,5,20,97.76,6.76,8.61,36.98,14.83,25.38,19.78,24.92,1.75,0.13,289.21,213.23
2021,5,21,98.07,1.8,2.79,6.72,13.24,29.44,18.05,28.26,1.73,0.12,298.47,206.75
2021,5,22,98.04,2.81,4.2,1.81,13.12,30.85,17.9,29.68,2.6,0.12,313.42,302.59
2021,5,23,98.12,2.91,4.44,0,10.56,29.89,14.35,28.72,2.03,0.12,298.48,261.65
2021,5,24,98.12,5.59,8.69,0,9.16,29.7,12.32,29.25,-999,0.12,320.75,304.45
2021,5,25,97.78,5.63,8.64,0,9.46,31.29,12.73,31.02,2.45,0.16,336.82,333.79
2021,5,26,97.56,3.64,5.39,0,10.01,32.71,13.51,32.27,2.41,0.15,320.38,316.85
2021,5,27,97.57,2.38,3.32,0,8.91,33.29,11.65,33.19,2.34,0.14,313.06,310.23
2021,5,28,97.76,3.06,4.82,0,10.5,33.42,14.19,31.76,2.42,0.14,314.31,311.87
2021,5,29,97.94,4.94,6.8,0.66,15.08,33.51,20.11,31.87,2.52,0.14,307.13,297.48
2021,5,30,97.88,3.2,4.13,0.47,15.69,34.29,20.73,32.06,2.28,0.14,290.88,279.98
2021,5,31,97.57,1.73,2.58,0,13.49,36.57,18.16,34.94,2.21,0.14,296.78,270.38
2021,6,1,97.86,2.09,2.78,18.58,13,31.89,17.48,31.37,1.73,0.13,303.55,218.3
